i,IDA Return Value,t,y[0],y[1],y[2],y[3],y[4],y[5],y[6],y[7],y[8],y[9],y[10],y[11],y[12],y[13],y[14],y[15],y[16],y[17],y[18],y[19],y[20],y[21],y[22],y[23],y[24]
0,0,0,0.55399038,0,0.995472581,0.971299567,0.306880069,0,-0.2805760630857143,0.9858033754,1.024954253675115,0,0.2805760630857143,0.9858033754,0.9999995777022623,0.4834630528955374,0.8767990039826272,1.000000586232529,0.0501183043867175,0.9999995777022623,1.914050274100913,1.555585870708211,-5.477586672149696,0.9949877346411762,0.09999703952427966,1,0
1,0,0.004166666666666667,0.5539903658772704,-1.322700358293662e-08,0.9954725767055972,0.9712995241516236,0.3068805174859229,-2.150322843008183e-50,-0.2805764731299867,0.9858033556840078,1.024954346959624,0,0.2805764694188007,0.9858033426447832,1.000018156128157,0.4834689846656437,0.87681597811481,1.000018142900913,0.0501221755320717,0.9999995777022623,1.914050274100913,1.555583777845865,-5.477587726950111,0.994987782446793,0.1000018142900913,1,0
2,0,0.008333333333333333,0.553990325711371,-2.528834720445643e-08,0.9954725721625849,0.9712994872426587,0.3068808722761166,-2.138444143370986e-50,-0.2805767975095922,0.9858033381946144,1.02495441893793,0,0.2805767904142686,0.9858033132652773,1.000016996607007,0.4834688042721429,0.8768147097082541,1.00001697131823,0.05012162148831201,0.9999995777022623,1.914050274100913,1.555581955383914,-5.47758858879596,0.994987837851169,0.100001697131823,1,0
3,0,0.0125,0.5539902680288447,-3.646741096459725e-08,0.9954725675059667,0.9712994543334383,0.3068811694564683,-2.126631025630991e-50,-0.2805770692173425,0.9858033222369553,1.024954503118702,0,0.2805770589854222,0.9858032862872605,1.0000159382603,0.483468599543847,0.8768135753288865,1.00001590179231,0.05012114113249765,0.9999995777022623,1.914050274100913,1.555580291676927,-5.477589336016115,0.9949878858867504,0.1000015901792311,1,0
4,0,0.01666666666666667,0.5539901938650836,-4.698103201411768e-08,0.9954725627868802,0.9712994251521986,0.3068814164674233,-2.114883127931648e-50,-0.2805772950559299,0.9858033077330076,1.02495454942398,0,0.2805772818741175,0.9858032614189509,1.000014963925834,0.4834683713840598,0.876812554043396,1.000014916944103,0.05012072371919015,0.9999995777022623,1.914050274100913,1.555578759690827,-5.477589985325705,0.9949879276280811,0.1000014916944103,1,0
5,0,0.02083333333333333,0.553990108061002,-5.707684555695961e-08,0.9954725580651492,0.9712993985575223,0.306881631466542,-2.103184185184075e-50,-0.2805774916265528,0.9858032942620986,1.024954582046794,0,0.2805774756120737,0.9858032379955561,1.000014039437449,0.4834681265140102,0.8768116015130197,1.000013982359804,0.05012034504751525,0.9999995777022623,1.914050274100913,1.555577305893028,-5.477590574370534,0.9949879654952487,0.1000013982359804,1,0
6,0,0.025,0.5539900097573474,-6.672970712587182e-08,0.9954725533455445,0.9712993747347213,0.3068818124987402,-2.091538155466142e-50,-0.2805776571417053,0.9858032819012152,1.024954601850771,0,0.2805776384188401,0.985803216118851,1.00001316734321,0.4834678636827561,0.8768107214867378,1.000013100612624,0.05012000729435184,0.9999995777022623,1.914050274100913,1.555575934286305,-5.477591099764343,0.994987999270565,0.1000013100612624,1,0
7,0,0.02916666666666667,0.5539898978692476,-7.584162439835579e-08,0.995472548673537,0.9712993539048972,0.3068819595389605,-2.079953418354987e-50,-0.2805777915784781,0.9858032707660811,1.02495462522281,0,0.2805777702990031,0.9858031960011597,1.000012344109971,0.4834675816102755,0.8768099106531236,1.00001226826741,0.05011970872129835,0.9999995777022623,1.914050274100913,1.555574639527082,-5.477591564211314,0.9949880291278703,0.100001226826741,1,0
8,0,0.03333333333333333,0.5539897725344548,-8.44225489202875e-08,0.9954725440452477,0.9712993360391609,0.3068820727126644,-2.068429068278373e-50,-0.2805778950515789,0.985803260842813,1.024954650814238,0,0.280577871364478,0.9858031776187889,1.000011569848319,0.4834672804707663,0.8768091690308686,1.000011485424793,0.05011944932779749,0.9999995777022623,1.914050274100913,1.555573421771901,-5.477591967712313,0.9949880550672201,0.1000011485424793,1,0
9,0,0.0375,0.5539896358305347,-9.249105762078972e-08,0.9954725396001269,0.9712993206944199,0.3068821633396742,-2.056968955774321e-50,-0.2805779779105593,0.985803252037844,1.024954668299449,0,0.2805779519596062,0.9858031608598586,1.000010820263953,0.483466963768184,0.8768084659859742,1.000010727771892,0.05011921209555821,0.9999995777022623,1.914050274100913,1.555572243200721,-5.477592336740241,0.9949880787904439,0.1000010727771893,1,0
10,0,0.04166666666666666,0.5539894877975691,-1.000472704920462e-07,0.9954725353412242,0.9712993078621125,0.3068822316554699,-2.045573186869271e-50,-0.2805780403707154,0.9858032443495793,1.024954677497388,0,0.2805780122996499,0.9858031457226554,1.000010094841106,0.4834666315717189,0.8768078008713841,1.000009994792821,0.05011899666541668,0.9999995777022623,1.914050274100913,1.555571103011055,-5.477592671853795,0.9949881003334581,0.1000009994792821,1,0
11,0,0.04583333333333333,0.553989328142292,-1.070903095886182e-07,0.9954725312462287,0.9712992976048825,0.3068822759371177,-2.034240985800774e-50,-0.2805780808567934,0.9858032377896901,1.024954679732765,0,0.2805780508096016,0.9858031322197162,1.000009397353479,0.4834662833751294,0.876807178421406,1.000009290262158,0.05011880566526275,0.9999995777022623,1.914050274100913,1.555570007074468,-5.477592968965147,0.9949881194334735,0.1000009290262158,1,0
